,participant,block,net_trial,net_size,net_contents,offer_1,offer_2,offer_3,choice,switch_trial,prop_filled,raw_distance,trials_invested,net_item_idx,best_alt_idx,worst_alt_idx,goal_offer,best_alt_offer,worst_alt_offer,in_scanner,decisionRT,myopic_values_1,myopic_values_2,myopic_values_3,tree_search_item1,tree_search_item2,tree_search_item3
106,0,16,5,43,25.8679853961154,0.521636265122565,14.0400934052976,2.24200938502022,2,1,0.601581055723614,17.1320146038846,3,3.0,2.0,1.0,2.24200938502022,14.0400934052976,0.521636265122565,1.0,,0.521636265122565,14.0400934052976,28.1099947811356,-15.3458,-6.0289,-8.95385
107,0,16,6,43,14.0400934052976,-0.205579759706658,13.7376030490274,2.26389624156103,2,0,0.3265138001232,28.9599065947024,1,2.0,3.0,1.0,13.7376030490274,2.26389624156103,-0.205579759706658,1.0,,-0.205579759706658,27.777696454325,2.26389624156103,-15.6985,-4.35455,-14.04385
108,0,16,7,43,27.777696454325,0.365759214230083,15.791431524743,2.47107790227005,2,0,0.645992940798256,15.222303545675,2,2.0,3.0,1.0,15.791431524743,2.47107790227005,0.365759214230083,1.0,,0.365759214230083,43.569127979068,2.47107790227005,-15.5944,-1.0,-14.00835
109,0,17,1,50,0.0,4.75925805504651,6.30318692809874,5.659334421896,3,0,0.0,50.0,0,,,,,,,1.0,,4.75925805504651,6.30318692809874,5.659334421896,-13.13155,-11.7922,-12.41295
110,0,17,2,50,5.659334421896,0.255261685967675,7.77512695813602,6.6524204606016,2,1,0.11318668843792,44.340665578104,1,3.0,2.0,1.0,6.6524204606016,7.77512695813602,0.255261685967675,1.0,,0.255261685967675,7.77512695813602,12.3117548824976,-16.872,-10.5258,-10.32855
111,0,17,3,50,7.77512695813602,-0.635724344541167,9.87392122446065,6.25799805574315,2,0,0.15550253916272,42.224873041864,1,2.0,3.0,1.0,9.87392122446065,6.25799805574315,-0.635724344541167,1.0,,-0.635724344541167,17.6490481825967,6.25799805574315,-17.0504,-7.7175,-11.7402
112,0,17,4,50,17.6490481825967,-0.867487112781112,-0.218308425042729,6.17054349971994,3,1,0.352980963651933,32.3509518174033,2,2.0,3.0,1.0,-0.218308425042729,6.17054349971994,-0.867487112781112,1.0,,-0.867487112781112,17.4307397575539,6.17054349971994,-17.17115,-14.64335,-11.7999
113,0,17,5,50,6.17054349971994,-1.6088479333038,-0.720929830103691,5.23460704026167,3,0,0.123410869994399,43.8294565002801,1,3.0,2.0,1.0,5.23460704026167,-0.720929830103691,-1.6088479333038,1.0,,-1.6088479333038,-0.720929830103691,11.4051505399816,-17.14165,-17.06345,-11.5487
114,0,17,6,50,11.4051505399816,1.94804132733388,0.196247555964477,3.95117751973634,3,0,0.228103010799632,38.5948494600184,2,3.0,1.0,2.0,3.95117751973634,1.94804132733388,0.196247555964477,1.0,,1.94804132733388,0.196247555964477,15.356328059718,-15.7112,-16.7566,-11.79355
115,0,17,7,50,15.356328059718,2.90439288199186,-0.570259423152625,3.23727382978469,3,0,0.307126561194359,34.643671940282,3,3.0,1.0,2.0,3.23727382978469,2.90439288199186,-0.570259423152625,1.0,,2.90439288199186,-0.570259423152625,18.5936018895026,-15.00975,-17.0068,-11.83465
116,0,17,8,50,18.5936018895026,1.58040852205971,-1.31366996627873,3.6040441666998,3,0,0.371872037790053,31.4063981104974,4,3.0,1.0,2.0,3.6040441666998,1.58040852205971,-1.31366996627873,1.0,,1.58040852205971,-1.31366996627873,22.1976460562024,-16.27065,-17.21465,-10.78585
117,0,17,9,50,22.1976460562024,14.0625926230793,-1.98182693068649,4.27702161496372,3,0,0.443952921124049,27.8023539437976,5,3.0,1.0,2.0,4.27702161496372,14.0625926230793,-1.98182693068649,1.0,,14.0625926230793,-1.98182693068649,26.4746676711662,-6.9605,-17.33005,-9.18535
118,0,17,10,50,26.4746676711662,12.6554911319237,-1.1623046664098,4.23120272718263,3,0,0.529493353423323,23.5253323288338,6,3.0,1.0,2.0,4.23120272718263,12.6554911319237,-1.1623046664098,1.0,,12.6554911319237,-1.1623046664098,30.7058703983488,-7.5577,-17.1348,-8.14925
119,0,17,11,50,30.7058703983488,13.1367339977224,-2.13377692772001,5.74510901264202,3,0,0.614117407966976,19.2941296016512,7,3.0,1.0,2.0,5.74510901264202,13.1367339977224,-2.13377692772001,1.0,,13.1367339977224,-2.13377692772001,36.4509794109908,-7.26295,-17.2405,-5.52185
120,0,17,12,50,36.4509794109908,13.0907212821959,14.7077995828981,5.08966405648172,3,0,0.729019588219816,13.5490205890092,8,3.0,2.0,1.0,5.08966405648172,14.7077995828981,13.0907212821959,1.0,,13.0907212821959,14.7077995828981,41.5406434674725,-7.2837,-6.8137,-4.31975
121,0,17,13,50,41.5406434674725,12.8951002143199,15.8895189814937,5.76093235367984,3,0,0.830812869349451,8.45935653252747,9,3.0,2.0,1.0,5.76093235367984,15.8895189814937,12.8951002143199,1.0,,12.8951002143199,15.8895189814937,47.3015758211524,-7.36885,-6.56005,-2.63835
122,0,17,14,50,47.3015758211524,14.3455307793149,15.4177927093644,6.33126008882912,3,0,0.946031516423048,2.69842417884762,10,3.0,2.0,1.0,6.33126008882912,15.4177927093644,14.3455307793149,1.0,,14.3455307793149,15.4177927093644,53.6328359099815,-6.9385,-6.69185,-1.0
128,0,19,1,69,0.0,5.49941273470109,6.89187598108863,4.947790331522,1,0,0.0,69.0,0,,,,,,,1.0,,5.49941273470109,6.89187598108863,4.947790331522,-16.1182,-14.79265,-16.4754
